imageId,Date,mm
198002_00000000000000000000,198002,1.414852615
198003_00000000000000000000,198003,1
198004_00000000000000000000,198004,3.442175632
198005_00000000000000000000,198005,10.20399108
198006_00000000000000000000,198006,106.174813
198007_00000000000000000000,198007,184.7055504
198008_00000000000000000000,198008,167.1098399
198009_00000000000000000000,198009,287.3313348
198010_00000000000000000000,198010,310.5179786
198011_00000000000000000000,198011,2.012277863
198012_00000000000000000000,198012,1
198101_00000000000000000000,198101,0.658993383
198102_00000000000000000000,198102,0.811399261
198103_00000000000000000000,198103,2.274739176
198104_00000000000000000000,198104,3.820076757
198105_00000000000000000000,198105,12.82121528
198106_00000000000000000000,198106,325.4550043
198107_00000000000000000000,198107,144.4628093
198108_00000000000000000000,198108,289.5846853
198109_00000000000000000000,198109,286.1798775
198110_00000000000000000000,198110,279.6665038
198111_00000000000000000000,198111,2.62921271
198112_00000000000000000000,198112,0.778802581
198201_00000000000000000000,198201,1.318603586
198202_00000000000000000000,198202,2.219418398
198203_00000000000000000000,198203,1.747469438
198204_00000000000000000000,198204,5.625096413
198205_00000000000000000000,198205,115.5071466
198206_00000000000000000000,198206,329.8552767
198207_00000000000000000000,198207,69.40444536
198208_00000000000000000000,198208,4.872779423
198209_00000000000000000000,198209,472.4880673
198210_00000000000000000000,198210,189.0336585
198211_00000000000000000000,198211,2.17586192
198212_00000000000000000000,198212,0.534402326
198301_00000000000000000000,198301,0.017831493
198302_00000000000000000000,198302,4.475938092
198303_00000000000000000000,198303,4.968494168
198304_00000000000000000000,198304,2.709650712
198305_00000000000000000000,198305,4.776826881
198306_00000000000000000000,198306,257.771926
198307_00000000000000000000,198307,183.6402848
198308_00000000000000000000,198308,97.27060644
198309_00000000000000000000,198309,391.7931946
198310_00000000000000000000,198310,108.0080865
198311_00000000000000000000,198311,16.07497419
198312_00000000000000000000,198312,1.127396516
198401_00000000000000000000,198401,0
198402_00000000000000000000,198402,1.667112407
198403_00000000000000000000,198403,0.682877805
198404_00000000000000000000,198404,1.452818756
198405_00000000000000000000,198405,112.8503866
198406_00000000000000000000,198406,355.390102
198407_00000000000000000000,198407,375.0926664
198408_00000000000000000000,198408,191.3792748
198409_00000000000000000000,198409,415.2176226
198410_00000000000000000000,198410,144.2211266
198411_00000000000000000000,198411,0.908885404
198412_00000000000000000000,198412,0
198501_00000000000000000000,198501,0
198502_00000000000000000000,198502,0.339221041
198503_00000000000000000000,198503,3.336051633
198504_00000000000000000000,198504,3.684987654
198505_00000000000000000000,198505,12.99088515
198506_00000000000000000000,198506,246.0573963
198507_00000000000000000000,198507,275.8327995
198508_00000000000000000000,198508,190.3320021
198509_00000000000000000000,198509,202.3970493
198510_00000000000000000000,198510,112.1376908
198511_00000000000000000000,198511,3.900692288
198512_00000000000000000000,198512,2.547252379
198601_00000000000000000000,198601,0.026049208
198602_00000000000000000000,198602,1.847198031
198603_00000000000000000000,198603,1.691095097
198604_00000000000000000000,198604,2.124093195
198605_00000000000000000000,198605,64.82927307
198606_00000000000000000000,198606,99.77470935
198607_00000000000000000000,198607,123.1430475
198608_00000000000000000000,198608,36.73313179
198609_00000000000000000000,198609,190.4391386
198610_00000000000000000000,198610,195.8254682
198611_00000000000000000000,198611,2.09297045
198612_00000000000000000000,198612,0.902968321
198701_00000000000000000000,198701,0
198702_00000000000000000000,198702,0
198703_00000000000000000000,198703,1.823352466
198704_00000000000000000000,198704,3.938800058
198705_00000000000000000000,198705,4.838386796
198706_00000000000000000000,198706,124.3390615
198707_00000000000000000000,198707,237.8081849
198708_00000000000000000000,198708,17.87003105
198709_00000000000000000000,198709,255.4753396
198710_00000000000000000000,198710,13.92120437
198711_00000000000000000000,198711,0.063529004
198712_00000000000000000000,198712,0.884412705
198801_00000000000000000000,198801,1.026049208
198802_00000000000000000000,198802,0.50269856
198803_00000000000000000000,198803,1
198804_00000000000000000000,198804,1.815135175
198805_00000000000000000000,198805,4.246495826
198806_00000000000000000000,198806,240.5007628
198807_00000000000000000000,198807,208.9137866
198808_00000000000000000000,198808,352.0010242
198809_00000000000000000000,198809,338.2060632
198810_00000000000000000000,198810,138.1059284
198811_00000000000000000000,198811,2.262353993
198812_00000000000000000000,198812,0.740983854
198901_00000000000000000000,198901,0.001133005
198902_00000000000000000000,198902,1.6541638
198903_00000000000000000000,198903,0.682877805
198904_00000000000000000000,198904,4.488412745
198905_00000000000000000000,198905,12.30736295
198906_00000000000000000000,198906,290.8341171
198907_00000000000000000000,198907,62.20550114
198908_00000000000000000000,198908,196.9986189
198909_00000000000000000000,198909,434.2803658
198910_00000000000000000000,198910,203.4366378
198911_00000000000000000000,198911,4.319973432
198912_00000000000000000000,198912,1.001133005
199001_00000000000000000000,199001,0
199002_00000000000000000000,199002,3.335790611
199003_00000000000000000000,199003,1.844732248
199004_00000000000000000000,199004,8.212040259
199005_00000000000000000000,199005,57.51626439
199006_00000000000000000000,199006,257.691234
199007_00000000000000000000,199007,161.3522354
199008_00000000000000000000,199008,79.02070201
199009_00000000000000000000,199009,228.8287192
199010_00000000000000000000,199010,87.62398184
199011_00000000000000000000,199011,71.22156787
199012_00000000000000000000,199012,1.948036647
199101_00000000000000000000,199101,0
199102_00000000000000000000,199102,0.008217292
199103_00000000000000000000,199103,0.601542905
199104_00000000000000000000,199104,5.084731996
199105_00000000000000000000,199105,9.338469183
199106_00000000000000000000,199106,291.432187
199107_00000000000000000000,199107,42.01684508
199108_00000000000000000000,199108,63.68296776
199109_00000000000000000000,199109,192.6579844
199110_00000000000000000000,199110,237.9597234
199111_00000000000000000000,199111,2.112041815
199112_00000000000000000000,199112,2.787483407
199201_00000000000000000000,199201,0.001133005
199202_00000000000000000000,199202,0.988551305
199203_00000000000000000000,199203,3.473816799
199204_00000000000000000000,199204,2.747634044
199205_00000000000000000000,199205,9.182810547
199206_00000000000000000000,199206,290.529667
199207_00000000000000000000,199207,173.3224713
199208_00000000000000000000,199208,84.00965651
199209_00000000000000000000,199209,178.7156587
199210_00000000000000000000,199210,46.75311735
199211_00000000000000000000,199211,6.442319951
199212_00000000000000000000,199212,1.973990495
199301_00000000000000000000,199301,0.04815362
199302_00000000000000000000,199302,0.226121642
199303_00000000000000000000,199303,0.773580535
199304_00000000000000000000,199304,4.606215059
199305_00000000000000000000,199305,7.67786318
199306_00000000000000000000,199306,340.2114158
199307_00000000000000000000,199307,99.37516188
199308_00000000000000000000,199308,298.8667654
199309_00000000000000000000,199309,269.4331584
199310_00000000000000000000,199310,171.3000758
199311_00000000000000000000,199311,1.063528582
199312_00000000000000000000,199312,0.001133005
199401_00000000000000000000,199401,0.96078911
199402_00000000000000000000,199402,1.484672818
199403_00000000000000000000,199403,1
199404_00000000000000000000,199404,1.094403446
199405_00000000000000000000,199405,10.79589857
199406_00000000000000000000,199406,96.26383706
199407_00000000000000000000,199407,23.63128747
199408_00000000000000000000,199408,220.2724201
199409_00000000000000000000,199409,133.8883965
199410_00000000000000000000,199410,144.166241
199411_00000000000000000000,199411,3.147268773
199412_00000000000000000000,199412,1.534402326
199501_00000000000000000000,199501,0
199502_00000000000000000000,199502,2.95616847
199503_00000000000000000000,199503,1.008217292
199504_00000000000000000000,199504,9.346130662
199505_00000000000000000000,199505,12.38767462
199506_00000000000000000000,199506,293.6633249
199507_00000000000000000000,199507,264.7238189
199508_00000000000000000000,199508,422.2358981
199509_00000000000000000000,199509,469.7326705
199510_00000000000000000000,199510,174.866877
199511_00000000000000000000,199511,1
199512_00000000000000000000,199512,1.928980597
199601_00000000000000000000,199601,0.764603508
199602_00000000000000000000,199602,0
199603_00000000000000000000,199603,1.728913823
199604_00000000000000000000,199604,6.54227714
199605_00000000000000000000,199605,22.66858219
199606_00000000000000000000,199606,303.3193423
199607_00000000000000000000,199607,225.268183
199608_00000000000000000000,199608,249.9889837
199609_00000000000000000000,199609,206.491495
199610_00000000000000000000,199610,225.1099006
199611_00000000000000000000,199611,14.97600626
199612_00000000000000000000,199612,0.274037229
199701_00000000000000000000,199701,0
199702_00000000000000000000,199702,0.871383588
199703_00000000000000000000,199703,2.40142043
199704_00000000000000000000,199704,5.499633261
199705_00000000000000000000,199705,10.2070625
199706_00000000000000000000,199706,191.8078588
199707_00000000000000000000,199707,68.1510547
199708_00000000000000000000,199708,10.88099399
199709_00000000000000000000,199709,299.9542442
199710_00000000000000000000,199710,187.1821929
199711_00000000000000000000,199711,135.154038
199712_00000000000000000000,199712,1.948036647
199801_00000000000000000000,199801,0
199802_00000000000000000000,199802,1.008217292
199803_00000000000000000000,199803,0
199804_00000000000000000000,199804,0.301522801
199805_00000000000000000000,199805,7.298672533
199806_00000000000000000000,199806,166.6296247
199807_00000000000000000000,199807,230.2464726
199808_00000000000000000000,199808,172.0173827
199809_00000000000000000000,199809,442.9290519
199810_00000000000000000000,199810,348.0811955
199811_00000000000000000000,199811,133.9281786
199812_00000000000000000000,199812,0.902968321
199901_00000000000000000000,199901,1.046295984
199902_00000000000000000000,199902,0.264185944
199903_00000000000000000000,199903,1.847070325
199904_00000000000000000000,199904,4.021375482
199905_00000000000000000000,199905,10.0975169
199906_00000000000000000000,199906,272.5243864
199907_00000000000000000000,199907,169.3338878
199908_00000000000000000000,199908,196.4045751
199909_00000000000000000000,199909,543.2733988
